starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 18 09:09:33 2018	1524064173	0	18860	18860	18845
Wed Apr 18 09:10:00 2018	1524064200	1	18860	18861	18860
Wed Apr 18 09:09:31 2018	1524064171	0	18865	18865	18860
Wed Apr 18 09:09:33 2018	1524064173	0	18878	18878	18863
Wed Apr 18 09:10:00 2018	1524064200	0	18881	18881	18865
Wed Apr 18 09:10:00 2018	1524064200	0	18881	18881	18881
Wed Apr 18 09:09:59 2018	1524064199	0	18889	18889	18889
Wed Apr 18 09:09:32 2018	1524064172	0	18890	18890	18890
Wed Apr 18 09:09:32 2018	1524064172	0	18890	18890	18890
Wed Apr 18 09:09:59 2018	1524064199	0	18891	18891	18885
Wed Apr 18 09:09:32 2018	1524064172	0	18905	18905	18905
Wed Apr 18 09:09:32 2018	1524064172	0	18905	18905	18905
Wed Apr 18 09:09:32 2018	1524064172	0	18905	18905	18890
Wed Apr 18 09:10:39 2018	1524064239	0	18906	18906	18906
Wed Apr 18 09:09:32 2018	1524064172	0	18907	18907	18907
Wed Apr 18 09:10:00 2018	1524064200	0	18911	18911	18911
Wed Apr 18 09:10:00 2018	1524064200	0	18920	18920	18917
Wed Apr 18 09:09:32 2018	1524064172	1	18919	18920	18919
Wed Apr 18 09:09:32 2018	1524064172	0	18921	18921	18921
Wed Apr 18 09:10:00 2018	1524064200	0	18921	18921	18905
Wed Apr 18 09:10:40 2018	1524064240	0	18922	18922	18922
Wed Apr 18 09:10:01 2018	1524064201	0	18922	18922	18922
Wed Apr 18 09:10:01 2018	1524064201	0	18925	18925	18920
Wed Apr 18 09:10:00 2018	1524064200	0	18928	18928	18928
Wed Apr 18 09:10:39 2018	1524064239	0	18930	18930	18914
Wed Apr 18 09:09:31 2018	1524064171	0	18931	18931	18931
Wed Apr 18 09:10:00 2018	1524064200	0	18936	18936	18932
Wed Apr 18 09:09:23 2018	1524064163	0	18936	18936	18936
Wed Apr 18 09:09:32 2018	1524064172	0	18937	18937	18921
Wed Apr 18 09:09:32 2018	1524064172	0	18937	18937	18937
Wed Apr 18 09:09:32 2018	1524064172	0	18937	18937	18921
Wed Apr 18 09:10:00 2018	1524064200	0	18937	18937	18937
Wed Apr 18 09:10:00 2018	1524064200	0	18937	18937	18937
Wed Apr 18 09:10:01 2018	1524064201	0	18938	18938	18922
Wed Apr 18 09:10:40 2018	1524064240	0	18938	18938	18933
Wed Apr 18 09:09:31 2018	1524064171	0	18939	18939	18939
Wed Apr 18 09:09:31 2018	1524064171	0	18939	18939	18939
Wed Apr 18 09:10:39 2018	1524064239	1	18947	18948	18931
Wed Apr 18 09:09:31 2018	1524064171	0	18950	18950	18945
Wed Apr 18 09:10:01 2018	1524064201	0	18951	18951	18951
Wed Apr 18 09:10:39 2018	1524064239	0	18953	18953	18953
Wed Apr 18 09:09:31 2018	1524064171	0	18954	18954	18939
Wed Apr 18 09:09:31 2018	1524064171	0	18954	18954	18954
Wed Apr 18 09:10:01 2018	1524064201	0	18987	18987	18972
Wed Apr 18 09:09:31 2018	1524064171	0	18995	18995	18995
Wed Apr 18 09:09:31 2018	1524064171	0	18996	18996	18933
Wed Apr 18 09:10:40 2018	1524064240	0	19000	19000	19000
Wed Apr 18 09:10:40 2018	1524064240	0	19000	19000	18984
Wed Apr 18 09:10:40 2018	1524064240	0	19001	19001	18937
Wed Apr 18 09:09:31 2018	1524064171	0	19001	19001	18985
Wed Apr 18 09:10:01 2018	1524064201	0	19002	19002	19002
Wed Apr 18 09:09:31 2018	1524064171	0	19011	19011	19011
Wed Apr 18 09:10:03 2018	1524064203	0	19015	19015	19015
Wed Apr 18 09:10:03 2018	1524064203	0	19015	19015	19015
Wed Apr 18 09:10:03 2018	1524064203	0	19015	19015	19015
Wed Apr 18 09:10:02 2018	1524064202	0	19017	19017	19017
Wed Apr 18 09:10:02 2018	1524064202	0	19017	19017	19017
Wed Apr 18 09:10:01 2018	1524064201	0	19021	19021	19021
Wed Apr 18 09:10:02 2018	1524064202	0	19022	19022	19022
Wed Apr 18 09:10:03 2018	1524064203	0	19028	19028	19028
Wed Apr 18 09:10:03 2018	1524064203	0	19028	19028	19012
Wed Apr 18 09:10:01 2018	1524064201	0	19031	19031	19012
Wed Apr 18 09:10:02 2018	1524064202	0	19031	19031	19016
Wed Apr 18 09:10:02 2018	1524064202	0	19031	19031	19031
Wed Apr 18 09:10:03 2018	1524064203	0	19032	19032	19016
Wed Apr 18 09:10:03 2018	1524064203	0	19032	19032	19016
Wed Apr 18 09:10:03 2018	1524064203	0	19032	19032	19032
Wed Apr 18 09:10:03 2018	1524064203	0	19032	19032	19032
Wed Apr 18 09:10:02 2018	1524064202	0	19033	19033	19017
Wed Apr 18 09:10:02 2018	1524064202	0	19033	19033	19033
Wed Apr 18 09:10:02 2018	1524064202	0	19033	19033	19033
Wed Apr 18 09:10:02 2018	1524064202	0	19033	19033	19017
Wed Apr 18 09:10:02 2018	1524064202	0	19033	19033	19033
Wed Apr 18 09:10:01 2018	1524064201	0	19034	19034	19030
Wed Apr 18 09:10:01 2018	1524064201	0	19035	19035	19035
Wed Apr 18 09:10:02 2018	1524064202	0	19035	19035	19030
Wed Apr 18 09:10:01 2018	1524064201	16	19021	19037	19021
Wed Apr 18 09:10:03 2018	1524064203	0	19037	19037	19037
Wed Apr 18 09:10:04 2018	1524064204	0	19037	19037	19037
Wed Apr 18 09:10:04 2018	1524064204	0	19037	19037	19037
Wed Apr 18 09:10:04 2018	1524064204	0	19042	19042	19026
Wed Apr 18 09:09:23 2018	1524064163	0	19046	19046	19046
Wed Apr 18 09:10:04 2018	1524064204	0	19046	19046	19041
Wed Apr 18 09:10:03 2018	1524064203	0	19047	19047	19032
Wed Apr 18 09:10:04 2018	1524064204	0	19051	19051	19036
Wed Apr 18 09:10:04 2018	1524064204	0	19053	19053	19037
Wed Apr 18 09:10:04 2018	1524064204	0	19067	19067	19050
Wed Apr 18 09:10:04 2018	1524064204	0	19082	19082	19082
Wed Apr 18 09:10:04 2018	1524064204	0	19097	19097	19081
Wed Apr 18 09:09:26 2018	1524064166	0	19104	19104	19104
Wed Apr 18 09:09:26 2018	1524064166	0	19118	19118	19118
Wed Apr 18 09:10:04 2018	1524064204	0	19125	19125	19125
Wed Apr 18 09:09:25 2018	1524064165	0	19130	19130	19130
Wed Apr 18 09:09:26 2018	1524064166	0	19134	19134	19134
Wed Apr 18 09:09:26 2018	1524064166	0	19134	19134	19118
Wed Apr 18 09:09:26 2018	1524064166	0	19134	19134	19118
Wed Apr 18 09:09:26 2018	1524064166	0	19134	19134	19134
Wed Apr 18 09:09:25 2018	1524064165	0	19138	19138	19138
Wed Apr 18 09:09:25 2018	1524064165	0	19139	19139	19139
Wed Apr 18 09:10:04 2018	1524064204	0	19139	19139	19139
Wed Apr 18 09:09:26 2018	1524064166	0	19141	19141	19125
Wed Apr 18 09:09:26 2018	1524064166	0	19141	19141	19141
Wed Apr 18 09:10:05 2018	1524064205	0	19145	19145	19145
Wed Apr 18 09:10:05 2018	1524064205	0	19145	19145	19145
Wed Apr 18 09:10:05 2018	1524064205	0	19145	19145	19145
Wed Apr 18 09:10:05 2018	1524064205	0	19145	19145	19145
Wed Apr 18 09:09:26 2018	1524064166	0	19149	19149	19134
Wed Apr 18 09:09:25 2018	1524064165	0	19155	19155	19139
Wed Apr 18 09:09:23 2018	1524064163	0	19155	19155	19139
Wed Apr 18 09:10:05 2018	1524064205	0	19161	19161	19145
Wed Apr 18 09:09:25 2018	1524064165	0	19186	19186	19171
Wed Apr 18 09:09:25 2018	1524064165	0	19186	19186	19186
Wed Apr 18 09:09:25 2018	1524064165	0	19202	19202	19202
Wed Apr 18 09:09:25 2018	1524064165	0	19202	19202	19202
Wed Apr 18 09:10:05 2018	1524064205	0	19208	19208	19161
Wed Apr 18 09:09:25 2018	1524064165	0	19213	19213	19213
Wed Apr 18 09:10:05 2018	1524064205	0	19217	19217	19217
Wed Apr 18 09:09:25 2018	1524064165	0	19218	19218	19202
Wed Apr 18 09:09:25 2018	1524064165	0	19218	19218	19202
Wed Apr 18 09:10:05 2018	1524064205	0	19218	19218	19218
Wed Apr 18 09:10:05 2018	1524064205	0	19218	19218	19218
Wed Apr 18 09:09:24 2018	1524064164	0	19218	19218	19218
Wed Apr 18 09:09:24 2018	1524064164	0	19219	19219	19219
Wed Apr 18 09:09:24 2018	1524064164	0	19220	19220	19220
Wed Apr 18 09:10:05 2018	1524064205	0	19224	19224	19224
Wed Apr 18 09:09:23 2018	1524064163	0	19249	19249	19249
Wed Apr 18 09:09:24 2018	1524064164	0	19250	19250	19250
Wed Apr 18 09:09:24 2018	1524064164	0	19281	19281	19281
Wed Apr 18 09:09:24 2018	1524064164	0	19281	19281	19281
Wed Apr 18 09:09:24 2018	1524064164	0	19281	19281	19266
Wed Apr 18 09:09:24 2018	1524064164	0	19281	19281	19266
Wed Apr 18 09:09:24 2018	1524064164	0	19281	19281	19281
Wed Apr 18 09:10:05 2018	1524064205	0	19289	19289	19289
Wed Apr 18 09:10:06 2018	1524064206	0	19296	19296	19280
Wed Apr 18 09:10:06 2018	1524064206	0	19296	19296	19296
Wed Apr 18 09:10:06 2018	1524064206	0	19296	19296	19296
Wed Apr 18 09:10:06 2018	1524064206	0	19296	19296	19296
Wed Apr 18 09:10:06 2018	1524064206	0	19296	19296	19281
Wed Apr 18 09:09:24 2018	1524064164	0	19297	19297	19281
Wed Apr 18 09:10:06 2018	1524064206	0	19298	19298	19282
Wed Apr 18 09:10:06 2018	1524064206	0	19300	19300	19300
Wed Apr 18 09:10:06 2018	1524064206	0	19306	19306	19290
Wed Apr 18 09:09:23 2018	1524064163	0	19311	19311	19295
Wed Apr 18 09:10:06 2018	1524064206	0	19312	19312	19296
Wed Apr 18 09:10:06 2018	1524064206	0	19313	19313	19311
