starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 18 09:10:12 2018	1524064212	0	19719	19719	19688
Wed Apr 18 09:10:12 2018	1524064212	0	19719	19719	19719
Wed Apr 18 09:10:12 2018	1524064212	0	19719	19719	19719
Wed Apr 18 09:10:26 2018	1524064226	0	19719	19719	19719
Wed Apr 18 09:10:14 2018	1524064214	0	19721	19721	19721
Wed Apr 18 09:10:25 2018	1524064225	0	19731	19731	19726
Wed Apr 18 09:10:26 2018	1524064226	0	19733	19733	19717
Wed Apr 18 09:10:26 2018	1524064226	0	19733	19733	19717
Wed Apr 18 09:10:26 2018	1524064226	0	19733	19733	19701
Wed Apr 18 09:10:13 2018	1524064213	0	19733	19733	19718
Wed Apr 18 09:10:13 2018	1524064213	0	19733	19733	19718
Wed Apr 18 09:10:14 2018	1524064214	0	19738	19738	19732
Wed Apr 18 09:10:14 2018	1524064214	0	19750	19750	19734
Wed Apr 18 09:10:26 2018	1524064226	0	19751	19751	19735
Wed Apr 18 09:10:14 2018	1524064214	0	19751	19751	19735
Wed Apr 18 09:10:26 2018	1524064226	0	19764	19764	19749
Wed Apr 18 09:10:26 2018	1524064226	0	19764	19764	19764
Wed Apr 18 09:10:26 2018	1524064226	0	19764	19764	19764
Wed Apr 18 09:10:26 2018	1524064226	0	19780	19780	19780
Wed Apr 18 09:10:26 2018	1524064226	0	19780	19780	19702
Wed Apr 18 09:10:15 2018	1524064215	0	19795	19795	19795
Wed Apr 18 09:10:14 2018	1524064214	0	19796	19796	19796
Wed Apr 18 09:10:15 2018	1524064215	0	19796	19796	19796
Wed Apr 18 09:10:25 2018	1524064225	0	19797	19797	19797
Wed Apr 18 09:10:24 2018	1524064224	0	19797	19797	19797
Wed Apr 18 09:10:25 2018	1524064225	0	19797	19797	19797
Wed Apr 18 09:10:20 2018	1524064220	0	19803	19803	19803
Wed Apr 18 09:10:24 2018	1524064224	0	19807	19807	19807
Wed Apr 18 09:10:24 2018	1524064224	0	19807	19807	19792
Wed Apr 18 09:10:14 2018	1524064214	0	19811	19811	19811
Wed Apr 18 09:10:14 2018	1524064214	0	19811	19811	19811
Wed Apr 18 09:10:15 2018	1524064215	0	19812	19812	19812
Wed Apr 18 09:10:15 2018	1524064215	0	19812	19812	19812
Wed Apr 18 09:10:15 2018	1524064215	0	19812	19812	19796
Wed Apr 18 09:10:20 2018	1524064220	0	19813	19813	19813
Wed Apr 18 09:10:14 2018	1524064214	0	19813	19813	19813
Wed Apr 18 09:10:14 2018	1524064214	0	19813	19813	19797
Wed Apr 18 09:10:20 2018	1524064220	0	19821	19821	19821
Wed Apr 18 09:10:21 2018	1524064221	0	19827	19827	19827
Wed Apr 18 09:10:20 2018	1524064220	0	19830	19830	19830
Wed Apr 18 09:10:20 2018	1524064220	0	19832	19832	19832
